points,position,team,year
516,1,McLaren,2025
248,2,Ferrari,2025
220,3,Mercedes,2025
192,4,Red Bull Racing,2025
70,5,Williams,2025
43,6,Kick Sauber,2025
41,7,Racing Bulls,2025
36,8,Aston Martin,2025
35,9,Haas,2025
20,10,Alpine,2025
701,1,Mercedes,2014
405,2,Red Bull Racing Renault,2014
320,3,Williams Mercedes,2014
216,4,Ferrari,2014
181,5,McLaren Mercedes,2014
155,6,Force India Mercedes,2014
30,7,STR Renault,2014
10,8,Lotus Renault,2014
2,9,Marussia Ferrari,2014
0,10,Sauber Ferrari,2014
0,11,Caterham Renault,2014
703,1,Mercedes,2015
428,2,Ferrari,2015
257,3,Williams Mercedes,2015
187,4,Red Bull Racing Renault,2015
136,5,Force India Mercedes,2015
78,6,Lotus Mercedes,2015
67,7,STR Renault,2015
36,8,Sauber Ferrari,2015
27,9,McLaren Honda,2015
0,10,Marussia Ferrari,2015
765,1,Mercedes,2016
468,2,Red Bull Racing TAG Heuer,2016
398,3,Ferrari,2016
173,4,Force India Mercedes,2016
138,5,Williams Mercedes,2016
76,6,McLaren Honda,2016
63,7,Toro Rosso Ferrari,2016
29,8,Haas Ferrari,2016
8,9,Renault,2016
2,10,Sauber Ferrari,2016
1,11,MRT Mercedes,2016
668,1,Mercedes,2017
522,2,Ferrari,2017
368,3,Red Bull Racing TAG Heuer,2017
187,4,Force India Mercedes,2017
83,5,Williams Mercedes,2017
57,6,Renault,2017
53,7,Toro Rosso,2017
47,8,Haas Ferrari,2017
30,9,McLaren Honda,2017
5,10,Sauber Ferrari,2017
655,1,Mercedes,2018
571,2,Ferrari,2018
419,3,Red Bull Racing TAG Heuer,2018
122,4,Renault,2018
93,5,Haas Ferrari,2018
62,6,McLaren Renault,2018
52,7,Force India Mercedes,2018
48,8,Sauber Ferrari,2018
33,9,Scuderia Toro Rosso Honda,2018
7,10,Williams Mercedes,2018
0,EX,Force India Sahara,2018
739,1,Mercedes,2019
504,2,Ferrari,2019
417,3,Red Bull Racing Honda,2019
145,4,McLaren Renault,2019
91,5,Renault,2019
85,6,Scuderia Toro Rosso Honda,2019
73,7,Racing Point BWT Mercedes,2019
57,8,Alfa Romeo Racing Ferrari,2019
28,9,Haas Ferrari,2019
1,10,Williams Mercedes,2019
573,1,Mercedes,2020
319,2,Red Bull Racing Honda,2020
202,3,McLaren Renault,2020
195,4,Racing Point BWT Mercedes,2020
181,5,Renault,2020
131,6,Ferrari,2020
107,7,AlphaTauri Honda,2020
8,8,Alfa Romeo Racing Ferrari,2020
3,9,Haas Ferrari,2020
0,10,Williams Mercedes,2020
613.5,1,Mercedes,2021
585.5,2,Red Bull Racing Honda,2021
323.5,3,Ferrari,2021
275,4,McLaren Mercedes,2021
155,5,Alpine Renault,2021
142,6,AlphaTauri Honda,2021
77,7,Aston Martin Mercedes,2021
23,8,Williams Mercedes,2021
13,9,Alfa Romeo Racing Ferrari,2021
0,10,Haas Ferrari,2021
759,1,Red Bull Racing RBPT,2022
554,2,Ferrari,2022
515,3,Mercedes,2022
173,4,Alpine Renault,2022
159,5,McLaren Mercedes,2022
55,6,Alfa Romeo Ferrari,2022
55,7,Aston Martin Aramco Mercedes,2022
37,8,Haas Ferrari,2022
35,9,AlphaTauri RBPT,2022
8,10,Williams Mercedes,2022
860,1,Red Bull Racing Honda RBPT,2023
409,2,Mercedes,2023
406,3,Ferrari,2023
302,4,McLaren Mercedes,2023
280,5,Aston Martin Aramco Mercedes,2023
120,6,Alpine Renault,2023
28,7,Williams Mercedes,2023
25,8,AlphaTauri Honda RBPT,2023
16,9,Alfa Romeo Ferrari,2023
12,10,Haas Ferrari,2023
666,1,McLaren Mercedes,2024
652,2,Ferrari,2024
589,3,Red Bull Racing Honda RBPT,2024
468,4,Mercedes,2024
94,5,Aston Martin Aramco Mercedes,2024
65,6,Alpine Renault,2024
58,7,Haas Ferrari,2024
46,8,RB Honda RBPT,2024
17,9,Williams Mercedes,2024
4,10,Kick Sauber Ferrari,2024
191,1,Renault,2005
182,2,McLaren Mercedes,2005
100,3,Ferrari,2005
88,4,Toyota,2005
66,5,Williams BMW,2005
38,6,BAR Honda,2005
34,7,RBR Cosworth,2005
20,8,Sauber Petronas,2005
12,9,Jordan Toyota,2005
7,10,Minardi Cosworth,2005
206,1,Renault,2006
201,2,Ferrari,2006
110,3,McLaren Mercedes,2006
86,4,Honda,2006
36,5,Sauber BMW,2006
35,6,Toyota,2006
16,7,RBR Ferrari,2006
11,8,Williams Cosworth,2006
1,9,STR Cosworth,2006
0,10,MF1 Toyota,2006
0,11,Super Aguri Honda,2006
204,1,Ferrari,2007
101,2,Sauber BMW,2007
51,3,Renault,2007
33,4,Williams Toyota,2007
24,5,Red Bull Renault,2007
13,6,Toyota,2007
8,7,STR Ferrari,2007
6,8,Honda,2007
4,9,Super Aguri Honda,2007
1,10,Spyker Ferrari,2007
0,EX,McLaren Mercedes,2007
172,1,Ferrari,2008
151,2,McLaren Mercedes,2008
135,3,Sauber BMW,2008
80,4,Renault,2008
56,5,Toyota,2008
39,6,STR Ferrari,2008
29,7,Red Bull Renault,2008
26,8,Williams Toyota,2008
14,9,Honda,2008
0,10,Force India Ferrari,2008
0,11,Super Aguri Honda,2008
48,1,Vanwall,1958
40,2,Ferrari,1958
31,3,Cooper Climax,1958
18,4,BRM,1958
6,5,Maserati,1958
3,6,Lotus Climax,1958
40,1,Cooper Climax,1959
32,2,Ferrari,1959
18,3,BRM,1959
5,4,Lotus Climax,1959
48,1,Cooper Climax,1960
34,2,Lotus Climax,1960
26,3,Ferrari,1960
8,4,BRM,1960
3,5,Cooper Maserati,1960
3,5,Cooper Castellotti,1960
40,1,Ferrari,1961
32,2,Lotus Climax,1961
22,3,Porsche,1961
14,4,Cooper Climax,1961
7,5,BRM Climax,1961
42,1,BRM,1962
36,2,Lotus Climax,1962
29,3,Cooper Climax,1962
19,4,Lola Climax,1962
18,5,Porsche,1962
18,5,Ferrari,1962
6,7,Brabham Climax,1962
1,8,Lotus BRM,1962
54,1,Lotus Climax,1963
36,2,BRM,1963
28,3,Brabham Climax,1963
26,4,Ferrari,1963
25,5,Cooper Climax,1963
6,6,BRP BRM,1963
5,7,Porsche,1963
4,8,Lotus BRM,1963
45,1,Ferrari,1964
42,2,BRM,1964
37,3,Lotus Climax,1964
30,4,Brabham Climax,1964
16,5,Cooper Climax,1964
7,6,Brabham BRM,1964
5,7,BRP BRM,1964
3,8,Lotus BRM,1964
54,1,Lotus Climax,1965
45,2,BRM,1965
27,3,Brabham Climax,1965
26,4,Ferrari,1965
14,5,Cooper Climax,1965
11,6,Honda,1965
5,7,Brabham BRM,1965
2,8,Lotus BRM,1965
42,1,Brabham Repco,1966
31,2,Ferrari,1966
30,3,Cooper Maserati,1966
22,4,BRM,1966
13,5,Lotus BRM,1966
8,6,Lotus Climax,1966
4,7,Eagle Climax,1966
3,8,Honda,1966
2,9,McLaren Ford,1966
1,10,Brabham BRM,1966
1,10,McLaren Serenissima,1966
1,10,Brabham Climax,1966
63,1,Brabham Repco,1967
44,2,Lotus Ford,1967
28,3,Cooper Maserati,1967
20,4,Honda,1967
20,4,Ferrari,1967
17,6,BRM,1967
13,7,Eagle Weslake,1967
6,8,Cooper Climax,1967
6,8,Lotus BRM,1967
3,10,McLaren BRM,1967
2,11,Brabham Climax,1967
62,1,Lotus Ford,1968
49,2,McLaren Ford,1968
45,3,Matra Ford,1968
32,4,Ferrari,1968
28,5,BRM,1968
14,6,Honda,1968
14,6,Cooper BRM,1968
10,8,Brabham Repco,1968
8,9,Matra,1968
3,10,Mclaren BRM,1968
66,1,Matra Ford,1969
49,2,Brabham Ford,1969
47,3,Lotus Ford,1969
38,4,McLaren Ford,1969
7,5,Ferrari,1969
7,5,BRM,1969
59,1,Lotus Ford,1970
52,2,Ferrari,1970
48,3,March Ford,1970
35,4,Brabham Ford,1970
